Filename	ScanNumber	PrecursorMZ	RetentionTime	ScanType	Rank	ParentMassError	ExplainedPeaks	Score	Identifier	Name	OriginalInChI	IdentifiedInChI	Modifications	Links
m/z	Intensity	Resolution	Baseline	Noise	Charge	SMILES	ProtonOffset	m/zError	FragmentationLevel
M	03-day-ctrl-msms-10 pos.FT2	145716	170.117453439	145.709	PositiveIon	1	0.000650281104896	6>19	0.986133834787	MetaCyC_3199	L-3-cyclohex-2'-enylalanine	InChI=1S/C9H15NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h2,4,7-8H,1,3,5-6,10H2,(H,11,12)/t7-,8+/m1/s1	InChI=1S/C9H15NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h2,4,7-8H,1,3,5-6,10H2,(H,11,12)/t7-,8+/m1/s1	NA	(MetaCyc=CPD-12684)
56.98733987	0.120656630588	0	0	0	0	NA	NA	NA	NA
57.39447763	0.103380884257	0	0	0	0	NA	NA	NA	NA
83.08350317	1.0	0	0	0	0	C1=CCCCC1	2	-0.00257211799999	1
83.0938731	0.416324683338	0	0	0	0	C1=CCCCC1	2	0.00779781200001	1
97.10506086	0.98832433368	0	0	0	0	CC1C=CCCC1	2	0.00333550800001	1
109.0968251	0.317525464405	0	0	0	0	CCC1C=CCCC1	1	-0.00490028399999	2
135.0656345	0.164432280383	0	0	0	0	NA	NA	NA	NA
142.1215716	0.504331951409	0	0	0	0	CCCC(C)CC(N)CO	2	-0.00161746799998	2
170.008931	0.297948020575	0	0	0	0	NA	NA	NA	NA
170.1162009	0.559898366074	0	0	0	0	NC(CC1C=CCCC1)C(=O)O	1	-0.00190282	0
267.8262192	0.117647058824	0	0	0	0	NA	NA	NA	NA
499.9716656	0.106703146375	0	0	0	0	NA	NA	NA	NA
527.325638	0.100957596509	0	0	0	0	NA	NA	NA	NA
591.8677576	0.102143179371	0	0	0	0	NA	NA	NA	NA
701.276111	0.10971271814	0	0	0	0	NA	NA	NA	NA
